AP	AP
vfE	vf E
'エ	vf E
vfO	vf O
'オ	vf O
fA	f A
ファ	f A
fI	f I
フィ	f I
fE	f E
フェ	f E
fO	f O
フォ	f O
fyU	fy U
フュ	fy U
tya	ty a
てゃ	ty a
ti	t i
てぃ	t i
tyu	ty u
てゅ	ty u
tye	ty e
てぇ	ty e
tyo	ty o
てょ	ty o
tyA	ty A
テャ	ty A
tyI	ty I
ティ	ty I
tyU	ty U
テュ	ty U
tyE	ty E
テェ	ty E
tyO	ty O
テョ	ty O
dya	dy a
でゃ	dy a
di	d i
でぃ	d i
dyu	dy u
でゅ	dy u
dye	dy e
でぇ	dy e
dyo	dy o
でょ	dy o
dyA	dy A
デャ	dy A
dyI	dy I
ディ	dy I
dyU	dy U
デュ	dy U
dyE	dy E
デェ	dy E
dyO	dy O
デョ	dy O
du	d u
どぅ	d u
tu	t u
とぅ	t u
dU	d U
ドゥ	d U
tU	t U
トゥ	t U
tsa	ts a
つぁ	ts a
tsi	ts i
つぃ	ts i
tse	ts e
つぇ	ts e
tso	ts o
つぉ	ts o
tsA	ts A
ツァ	ts A
tsI	ts I
ツィ	ts I
tsE	ts E
ツェ	ts E
tsO	ts O
ツォ	ts O
